lineID	SPEAKER	ENGLISH	
			
6229	objAngel	{angel}我的||天哪...	
6230	objAngel	你|{shake}{anim sprAngel_happy}真是||太可爱了！！！{/shake}
6231	objAngel	抱歉吓到你了
6232	objAngel	我只是想考验一下你是不是英雄
6233	objAngel	结果|你不是
6234	objBard	{}我只是个吟游诗人！
6235	objBard	你是谁啊？
6236	objAngel	{angel}我是女神艾娅的信使
6237	objAngel	很久很久以前，|她的创世之歌让你们的宇宙诞生了
6238	objAngel	很快，她又要唱起那首歌了
6239	objAngel	然后，||嗯
6240	objAngel	你们的宇宙会被一个新的宇宙取代
6241	objAngel	不过别太慌张
6242	objAngel	你们的宇宙已经很老旧了
6244	objAngel	她喜欢过段时间就重新开始一次，||懂吧？
6246	objAngel	...|哎|呀|呀|呀|呀...
6247	objAngel	听起来的确很糟糕
6248	objAngel	我还挺喜欢你的
6249	objAngel	很遗憾你的星球要完蛋啦
7821	objMask	嘿，流浪者
7822	objMask	你昨晚做了什么梦？
7823	objBard	|我...|不记得了！
7825	objMask	它们很容易被遗忘，|不是吗...
7826	objMask	嗯，|别担心。
7827	objMask	这是一个美丽的清晨...
7829	objMask	鸟儿在歌唱...
7830	objMask	那你呢？
7839	objMask	要去见幽灵吗？
7840	objBard	...幽灵？
7841	objMask	一群灵魂占领了小镇
7842	objMask	大家都吓坏了...||这挺有趣的
7843	objMask	那么，|回见咯
7844	objMask	流浪者，|如果打开思路...
7845	objMask	我可以教你一种神秘的力量
7846	objMask_meet	那就是||舞蹈。
7847	objBard	不|了|谢|谢！
7848	objBard	教|教|我|吧！
7849	objMask	我明白了。
7850	objMask	这项本领有很深的门道。
7851	objMask	只有你准备好之后才可以开始学习。
7852	objMask	嗯...
7853	objMask	我不知道该怎么说...
7854	objMask	但|看来...
7855	objMask	你已经关上了通往||舞蹈|的大门。
7856	objMask	在你的心中，|有一个特别的地方...
7857	objMask	称为“控制菜单”。
7858	objMask	我想你一定得去那个地方参观一下。
7859	objMask	好吧。
7860	objMask	我要你闭上眼睛，
7861	objMask	想象一下这个叫做...
7862	objMask	DUALSHOCK^4无线控制器的东西
7863	objMask	想象一下这个叫做||“{data_controllername}”的东西
7864	objMask	...你看到了吗？
7865	objMask	使用那个东西，
7866	objMask	你得长按名叫“{data_dancebutton}”的东西来|跳舞。
7867	objMask	在那个“{data_controllername}”上...
7868	objMask	你得长按名叫“{data_dancebutton}键”的东西来|跳舞。
7869	objMask	按下那个按键，|流浪者。
7870	objMask	我要你闭上眼睛，
7871	objMask	想象一下这个叫做||“键盘”的东西
7872	objMask	...你看到了吗？
7873	objMask	在那个“键盘”上...
7874	objMask	你得长按名叫“{data_dancebutton}键”的东西来|跳舞。
7875	objMask	长按那个键，|流浪者。
7876	objMask	并感受舞蹈在你体内流动...
7877	objMask	不论何时，|不论何地。
7878	objMask	周围有这么多幽灵...
7879	objMask	我真的感觉|很恐怖。
7880	objMask	我打算去墓地转转。
7881	objMask	|如果你去那里找我...
7882	objMask	然后...
7883	objMask	肯定会有特别的事情发生。
7901	objMask	好了，流浪者...
7902	objMask	你知道这个地方吗？
7903	objMask	它被称为沉眠之树。
7904	objMask	一个非常神奇的小地方...
7905	objMask	只是待|在|这|里|就|让||我|||想要...
7906	objMask	{wiggle}{shake}{speed .2}打哈欠{/shake}
7907	objMask	{wiggle}{shake}{speed .2}打哈欠{/shake}
7522	objMask	嘿，|流浪者。
7523	objMask	我爱糖果...
7524	objMask	但我来是因为他们演奏的那首绝妙的曲子...
7525	objMask	是你写的，|不是吗？
7526	objMask	这就是墓地...||很恐怖，|是吧？
7527	objMask	我喜欢沉浸在这种恐怖的氛围中...
7528	objMask	...
7529	objMask	不错，你能在这里找到我...
7530	objMask	我有东西要给你看。
7531	objMask	我知道|你对音乐|了如指掌。
7532	objMask	但你对...
7533	objMask	...{shake}舞蹈{/shake}||了解多少呢？{/shake}
